german,english,article,german_sentence,english_sentence
keine,no (f),,Keine Zeit.,No time.
kein,no (n),,Kein Problem.,No problem.
keine,no (pl.),,Keine Lust.,No desire.
ein,a (m),,Ein Mann.,A man.
eine,a (f),,Eine Frau.,A woman.
ein,a (n),,Ein Kind.,A child.
einen,a (m acc.),,Einen Apfel.,An apple.
eine,a (f acc.),,Eine Katze.,A cat.
ein,a (n acc.),,Ein Auto.,A car.
eins,one,,Eins,zwei
zwei,two,,Zwei Euro.,Two euros.
drei,three,,Drei Personen.,Three people.
vier,four,,Vier Wochen.,Four weeks.
fünf,five,,Fünf Minuten.,Five minutes.
sechs,six,,Sechs Uhr.,Six o'clock.
sieben,seven,,Sieben Tage.,Seven days.
acht,eight,,Acht Stunden.,Eight hours.
neun,nine,,Neun Leben.,Nine lives.
zehn,ten,,Zehn Finger.,Ten fingers.
elf,eleven,,Elf Spieler.,Eleven players.
zwölf,twelve,,Zwölf Monate.,Twelve months.
zwanzig,twenty,,Zwanzig Jahre.,Twenty years.
dreißig,thirty,,Dreißig Minuten.,Thirty minutes.
vierzig,forty,,Vierzig Prozent.,Forty percent.
fünfzig,fifty,,Fünfzig Euro.,Fifty euros.
sechzig,sixty,,Sechzig Sekunden.,Sixty seconds.
siebzig,seventy,,Siebzig Jahre.,Seventy years.
achtzig,eighty,,Achtzig Kilometer.,Eighty kilometers.
neunzig,ninety,,Neunzig Tage.,Ninety days.
hundert,hundred,,Hundert Leute.,Hundred people.
tausend,thousand,,Tausend Dank!,A thousand thanks!
erster,first (m),,Der erste Platz.,First place.
zweite,second (f),,Die zweite Chance.,The second chance.
dritte,third (n),,Das dritte Mal.,The third time.
letzte,last (m),,Der letzte Tag.,The last day.
nächste,next (f),,Die nächste Woche.,Next week.
vorige,previous (n),,Das vorige Jahr.,The previous year.
wie,how,,Wie bitte?,Pardon?
warum,why,,Warum fragst du?,Why do you ask?
wo,where,,Wo wohnst du?,Where do you live?
wann,when,,Wann kommst du?,When are you coming?
wer,who,,Wer ist da?,Who is there?
was,what,,Was machst du?,What are you doing?
welcher,which,,Welcher Bus?,Which bus?
wieviel,how much,,Wieviel kostet das?,How much does it cost?
wieviele,how many,,Wieviele Leute?,How many people?
ja,yes,,Ja,gerne.
nein,no,,Nein,danke.
oder,or,,Kaffee oder Tee?,Coffee or tea?
und,and,,Brot und Butter.,Bread and butter.
aber,but,,Aber ja!,But yes!
weil,because,,Weil ich müde bin.,Because I am tired.
dass,that,,Ich weiß,dass...
ob,whether/if,,Ich weiß nicht,ob...
wenn,if/when,,Wenn du willst.,If you want.
als,when/as,,Als ich klein war.,When I was little.
bevor,before,,Bevor du gehst.,Before you go.
nachdem,after,,Nachdem ich gegessen habe.,After I ate.
damit,so that,,Damit du verstehst.,So that you understand.
obwohl,although,,Obwohl es regnet.,Although it rains.
während,while,,Während du schläfst.,While you sleep.
seit,since,,Seit ich hier bin.,Since I am here.
bis,until,,Bis du kommst.,Until you come.
außer,except,,Außer montags.,Except Mondays.
sonst,or else,,Beeil dich,sonst...
trotzdem,nevertheless,,Trotzdem danke.,Thanks anyway.
deshalb,therefore,,Deshalb komme ich.,That's why I'm coming.
darum,therefore,,Darum sage ich...,That's why I say...
denn,because,,Komm denn her!,Come here then!
nämlich,namely,,Ich meine nämlich...,I mean namely...
also,so/thus,,Also gut.,Alright then.
nun,now,,Nun ja.,Well now.
eigentlich,actually,,Eigentlich nicht.,Actually not.
vielleicht,perhaps,,Vielleicht morgen.,Perhaps tomorrow.
sicher,sure/certainly,,Sicher doch!,Sure!
bestimmt,definitely,,Bestimmt nicht.,Definitely not.
wahrscheinlich,probably,,Wahrscheinlich ja.,Probably yes.
hoffentlich,hopefully,,Hoffentlich nicht.,Hopefully not.
leider,unfortunately,,Leider nein.,Unfortunately no.
glücklicherweise,fortunately,,Glücklicherweise ja.,Fortunately yes.
natürlich,naturally,,Natürlich!,Naturally!
klar,clearly,,Klar,kein Problem.
genau,exactly,,Genau richtig.,Exactly right.
richtig,correct,,Ganz richtig.,Quite correct.
falsch,wrong,,Völlig falsch.,Completely wrong.
wahr,TRUE,,Ist das wahr?,Is that true?
unwahr,FALSE,,Das ist unwahr.,That's false.
möglich,possible,,Alles ist möglich.,Everything is possible.
unmöglich,impossible,,Das ist unmöglich.,That's impossible.
gut,good,,Gut zu wissen.,Good to know.
besser,better,,Besser als nichts.,Better than nothing.
schlecht,bad,,Schlechte Idee.,Bad idea.
schlimm,terrible,,Wie schlimm!,How terrible!
toll,great,,Toll gemacht!,Great job!
super,super,,Super toll!,Super great!
fantastisch,fantastic,,Fantastisch!,Fantastic!
wunderbar,wonderful,,Wunderbar!,Wonderful!
herrlich,gorgeous,,Herrliches Wetter!,Gorgeous weather!
schrecklich,terrible,,Schrecklich kalt.,Terribly cold.
furchtbar,awful,,Furchtbar laut.,Awfully loud.
ekelhaft,disgusting,,Ekelhaft!,Disgusting!
eklig,gross,,Total eklig.,Totally gross!
lustig,funny,,Sehr lustig!,Very funny!
komisch,strange/funny,,Komisch,oder?
seltsam,strange,,Sehr seltsam.,Very strange.
normal,normal,,Ganz normal.,Totally normal.
gewöhnlich,usual,,Wie gewöhnlich.,As usual.
besonders,especially,,Besonders gut.,Especially good.
außergewöhnlich,extraordinary,,Außergewöhnlich schön.,Extraordinarily beautiful.
einfach,simply,,Einfach super.,Simply super.
schwierig,difficult,,Sehr schwierig.,Very difficult.
leicht,easy,,Leicht gesagt.,Easily said.
schnell,quick,,Schnell machen!,Do it quick!
langsam,slow,,Langsam fahren.,Drive slowly.
laut,loud,,Zu laut!,Too loud!
leise,quiet,,Leise sein!,Be quiet!
hoch,high,,Hoch hinaus!,Up high!
tief,deep/low,,Tief im Wald.,Deep in the forest.
breit,wide,,Breite Straße.,Wide street.
schmal,narrow,,Schmaler Weg.,Narrow path.
lang,long,,Langer Weg.,Long way.
kurz,short,,Kurze Pause.,Short break.
dick,thick/fat,,Dicker Pullover.,Thick sweater.
dünn,thin,,Dünnes Eis.,Thin ice.
stark,strong,,Starker Kaffee.,Strong coffee.
schwach,weak,,Schwaches Signal.,Weak signal.
reich,rich,,Sehr reich.,Very rich.
arm,poor,,Arm dran.,Poor thing.
glücklich,happy,,Ich bin glücklich.,I am happy.
traurig,sad,,Ich bin traurig.,I am sad.
fröhlich,cheerful,,Fröhlich sein!,Be cheerful!
wütend,angry,,Ich bin wütend!,I am angry!
böse,angry,,Böse auf dich.,Angry with you.
froh,glad,,Ich bin froh.,I am glad.
stolz,proud,,Ich bin stolz.,I am proud.
eifersüchtig,jealous,,Bist du eifersüchtig?,Are you jealous?
neidisch,envious,,Neidisch sein.,Be envious.
verliebt,in love,,Verliebt sein.,Be in love.
einsam,lonely,,Ich fühle mich einsam.,I feel lonely.
müde,tired,,Total müde.,Totally tired.
wach,awake,,Hellwach.,Wide awake.
hungrig,hungry,,Ich bin hungrig.,I am hungry.
durstig,thirsty,,Mir ist durstig.,I am thirsty.
krank,sick,,Ich bin krank.,I am sick.
gesund,healthy,,Bleib gesund!,Stay healthy!
tot,dead,,Tot müde.,Dead tired.
lebendig,alive,,Lebendig begraben.,Buried alive.
tot,dead,,Mausetot.,Dead as a doornail.
jung,young,,Jung geblieben.,Stayed young.
alt,old,,Alt werden.,Get old.
neu,new,,Brandneu.,Brand new.
gebraucht,used,,Gebraucht kaufen.,Buy used.
sauber,clean,,Sauber machen.,Clean up.
schmutzig,dirty,,Schmutzige Wäsche.,Dirty laundry.
voll,full,,Voll tanken.,Fill up.
leer,empty,,Leer ausgehen.,Come away empty-handed.
offen,open,,Offen sein.,Be open.
geschlossen,closed,,Geschlossen heute.,Closed today.
warm,warm,,Warm anziehen.,Dress warm.
kalt,cold,,Kalt duschen.,Cold shower.
heiß,hot,,Heißer Tee.,Hot tea.
kühl,cool,,Kühl lagern.,Store cool.
nass,wet,,Nass bis auf die Haut.,Wet to the skin.
trocken,dry,,Trocken bleiben.,Stay dry.
hell,bright,,Hell leuchten.,Shine bright.
dunkel,dark,,Dunkel werden.,Get dark.
klar,clear,,Klarer Himmel.,Clear sky.
trüb,cloudy,,Trübes Wetter.,Cloudy weather.
sonnig,sunny,,Sonniger Tag.,Sunny day.
regnerisch,rainy,,Regnerisches Wetter.,Rainy weather.
windig,windy,,Windig heute.,Windy today.
stürmisch,stormy,,Stürmisches Wetter.,Stormy weather.
schnee,snow,,Es schneit.,It is snowing.
eis,ice,,Glattes Eis.,Slippery ice.
nebel,fog,,Dichter Nebel.,Thick fog.
wolke,cloud,,Wolken am Himmel.,Clouds in the sky.
regen,rain,,Es regnet.,It is raining.
schnee,snow,,Schnee fällt.,Snow is falling.
sturm,storm,,Sturm kommt.,Storm is coming.
blitz,lightning,,Blitz und Donner.,Lightning and thunder.
donner,thunder,,Lauter Donner.,Loud thunder.
mond,moon,,Vollmond.,Full moon.
sonne,sun,,Die Sonne scheint.,The sun is shining.
stern,star,,Sternenhimmel.,Starry sky.
himmel,sky/heaven,,Blauer Himmel.,Blue sky.
erde,earth,,Auf der Erde.,On earth.
meer,sea,,Am Meer.,At the sea.
fluss,river,,Der Fluss.,The river.
berg,mountain,,Hoher Berg.,High mountain.
tal,valley,,Im Tal.,In the valley.
wald,forest,,Im Wald.,In the forest.
baum,tree,,Alter Baum.,Old tree.
blume,flower,,Schöne Blume.,Beautiful flower.
gras,grass,,Grünes Gras.,Green grass.
tier,animal,,Wildes Tier.,Wild animal.
hund,dog,,Mein Hund.,My dog.
katze,cat,,Die Katze miaut.,The cat meows.
vogel,bird,,Der Vogel singt.,The bird sings.
fisch,fish,,Frischer Fisch.,Fresh fish.
pferd,horse,,Reites Pferd.,Riding horse.
kuh,cow,,Die Kuh muht.,The cow moos.
schwein,pig,,Das Schwein grunzt.,The pig grunts.
huhn,chicken,,Das Huhn gackert.,The chicken clucks.
ente,duck,,Die Ente schnattert.,The duck quacks.
frosch,frog,,Der Frosch quakt.,The frog croaks.
spinne,spider,,Große Spinne.,Big spider.
biene,bee,,Die Biene summt.,The bee buzzes.
schmetterling,butterfly,,Schöner Schmetterling.,Beautiful butterfly.
rose,rose,,Rote Rose.,Red rose.
baum,tree,,Hoher Baum.,Tall tree.
apfel,apple,,Roter Apfel.,Red apple.
banane,banana,,Reife Banane.,Ripe banana.
orange,orange,,Süße Orange.,Sweet orange.
zitrone,lemon,,Saure Zitrone.,Sour lemon.
wein,grape/wine,,Trauben ernten.,Harvest grapes.
brot,bread,,Frisches Brot.,Fresh bread.
milch,milk,,Frische Milch.,Fresh milk.
käse,cheese,,Alter Käse.,Aged cheese.
ei,egg,,Frisches Ei.,Fresh egg.
fleisch,meat,,Rohes Fleisch.,Raw meat.
fisch,fish,,Gegrillter Fisch.,Grilled fish.
gemüse,vegetables,,Frisches Gemüse.,Fresh vegetables.
kartoffel,potato,,Gebratene Kartoffeln.,Fried potatoes.
tomate,tomato,,Reife Tomate.,Ripe tomato.
salat,salad/lettuce,,Frischer Salat.,Fresh salad.
zucker,sugar,,Weißer Zucker.,White sugar.
salz,salt,,Wenig Salz.,Little salt.
pfeffer,pepper,,Schwarzer Pfeffer.,Black pepper.
öl,oil,,Olivenöl.,Olive oil.
wasser,water,,Kaltes Wasser.,Cold water.
wein,wine,,Roter Wein.,Red wine.
bier,beer,,Kaltes Bier.,Cold beer.
kaffee,coffee,,Starker Kaffee.,Strong coffee.
tee,tea,,Grüner Tee.,Green tea.
saft,juice,,Orangensaft.,Orange juice.
limonade,lemonade,,Kalte Limonade.,Cold lemonade.
haus,house,,Großes Haus.,Big house.
tür,door,,Die Tür ist offen.,The door is open.
fenster,window,,Offenes Fenster.,Open window.
