number,german,english,article,german_sentence,english_sentence
75,uns,us,,Hilf uns!,Help us!
76,ihnen,them/to them,,Gib ihnen das.,Give it to them.
77,durch,through,,Durch den Park.,Through the park.
78,alles,everything/all,,Alles klar?,All good?
79,wo,where,,Wo bist du?,Where are you?
80,mir,me/to me,,Gib mir...,Give me...
81,wir,we,,Wir gehen.,We go.
82,zur,to the,,Zur Schule.,To school.
83,unsere,our,,Unsere Familie.,Our family.
84,wird,becomes/is,,Es wird dunkel.,It gets dark.
85,euch,you (pl.),,Ich sehe euch.,I see you all.
86,dein,your,,Dein Buch.,Your book.
87,aus,out,,Raus hier!,Out here!
88,zurück,back,,Komm zurück!,Come back!
89,deutsch,German,,Auf Deutsch.,In German.
90,jahr,year,,Letztes Jahr.,Last year.
91,leben,to live,,Ich lebe hier.,I live here.
92,groß,big,,Ein großes Haus.,A big house.
93,war,was,,Es war schön.,It was nice.
94,soll,should/shall,,Das soll ich machen.,I should do that.
95,zeit,time,,Keine Zeit.,No time.
96,weg,way/away,,Geh weg!,Go away!
97,denn,because,,Komm denn!,Come on then!
98,viel,much/a lot,,Viel Glück!,Good luck!
99,wissen,to know,,Ich weiß nicht.,I don't know.
100,unter,under,,Unter dem Tisch.,Under the table.
101,noch,still,,Noch ein Bier?,Another beer?
102,dieser,this,,Dieser Mann.,This man.
103,besser,better,,Viel besser.,Much better.
104,wieder,again,,Wieder da?,Back again?
105,neu,new,,Ein neues Auto.,A new car.
106,lang,long,,Wie lange?,How long?
107,viel,many/a lot,,Viele Leute.,Many people.
108,heute,today,,Heute Abend.,Tonight.
109,alle,all,,Alle zusammen.,All together.
110,frau,woman,,Die Frau dort.,The woman there.
111,geld,money,,Kein Geld.,No money.
112,tag,day,,Guten Tag!,Good day!
113,bleiben,to stay,,Ich bleibe hier.,I stay here.
114,ende,end,,Am Ende.,At the end.
115,warum,why,,Warum nicht?,Why not?
116,wurde,became/was,,Es wurde kalt.,It got cold.
117,beide,both,,Beide Hände.,Both hands.
118,dort,there,,Dort drüben.,Over there.
119,welt,world,,Die ganze Welt.,The whole world.
120,letzte,last,,Letzte Woche.,Last week.
121,zwischen,between,,Zwischen uns.,Between us.
122,wer,who,,Wer ist das?,Who is that?
123,stadt,city,,In der Stadt.,In the city.
124,kind,child,,Das Kind spielt.,The child plays.
125,deutsche,German (pl.),,Deutsche Sprache.,German language.
126,land,country,,In Deutschland.,In Germany.
127,arbeiten,to work,,Ich arbeite.,I work.
128,während,during,,Während des Films.,During the movie.
129,haus,house,n,Mein Haus.,My house.
130,machen,to make/do,,Mach das!,Do that!
131,hand,hand,f,Eine Hand.,One hand.
132,zwei,two,,Zwei Bier.,Two beers.
133,sagen,to say/tell,,Sag mir!,Tell me!
134,leben,life,,Das Leben.,Life.
135,mann,man,m,Der alte Mann.,The old man.
136,jeder,every/each,,Jeder Tag.,Every day.
137,name,name,m,Dein Name?,Your name?
138,werden,will/future,,Ich werde kommen.,I will come.
139,weg,way/path,,Der Weg.,The way.
140,frauen,women,,Viele Frauen.,Many women.
141,zurück,back,,Zurückkommen.,Come back.
142,finden,to find,,Ich finde es.,I find it.
143,polizei,police,f,Die Polizei kommt.,The police are coming.
144,frage,question,f,Eine Frage.,A question.
145,recht,right/law,,Du hast recht.,You are right.
146,nie,never,,Nie wieder.,Never again.
147,schön,nice/beautiful,,Sehr schön!,Very nice!
148,geld,money,n,Viel Geld.,A lot of money.
149,mensch,person/human,m,Der Mensch.,The person.
150,sache,thing,f,Eine Sache.,One thing.
151,drei,three,,Drei Tage.,Three days.
152,nicht,not,,Nicht wahr?,Isn't that so?
153,können,to be able to,,Kannst du?,Can you?
154,deutschland,Germany,,In Deutschland.,In Germany.
155,gut,well/good,,Gut gemacht!,Well done!
156,wort,word,n,Ein Wort.,One word.
157,woche,week,f,Diese Woche.,This week.
158,gegen,against,,Gegen dich.,Against you.
159,weit,further/far,,Weitergehen.,Go further.
160,ohne,without,,Ohne dich.,Without you.
161,einmal,once,,Einmal nur.,Just once.
162,uhr,clock/o'clock,f,Wie spät ist es?,What time is it?
163,stehen,to stand,,Ich stehe auf.,I stand up.
164,familie,family,f,Meine Familie.,My family.
165,liegen,to lie,,Es liegt dort.,It lies there.
166,bleiben,to remain,,Bleib hier!,Stay here!
167,später,later,,Bis später!,See you later!
168,morgen,tomorrow/morning,,Morgen früh.,Tomorrow morning.
169,dann,then,,Und dann?,And then?
170,nehmen,to take,,Nimm das!,Take that!
171,halten,to hold/stop,,Halt an!,Stop!
172,auto,car,n,Mein Auto.,My car.
173,habe,I have,,Ich habe es.,I have it.
174,ab,from/off,,Ab morgen.,From tomorrow.
175,erste,first,,Der erste Platz.,First place.
176,lassen,to let,,Lass uns gehen.,Let's go.
177,schauen,to look,,Schau mal!,Look!
178,wasser,water,n,Kaltes Wasser.,Cold water.
179,lange,long (time),,Wie lange?,How long?
180,genug,enough,,Genug jetzt!,Enough now!
181,gibt,gives/there is,,Es gibt...,There is...
182,tun,to do,,Was tust du?,What are you doing?
183,junge,boy,m,Der kleine Junge.,The little boy.
184,platz,place/square,m,Am Platz.,At the square.
185,einfach,simple,,Ganz einfach.,Very simple.
186,ende,end,n,Das Ende.,The end.
187,glauben,to believe,,Ich glaube nicht.,I don't believe.
188,möglich,possible,,Ist das möglich?,Is that possible?
189,minute,minute,f,Eine Minute.,One minute.
190,freund,friend,m,Mein bester Freund.,My best friend.
191,mädchen,girl,n,Das Mädchen.,The girl.
192,arbeiten,to work,,Bei der Arbeit.,At work.
193,müde,tired,,Ich bin müde.,I am tired.
194,alt,old,,Wie alt?,How old?
195,tag,day,m,Der ganze Tag.,The whole day.
196,beispiel,example,n,Zum Beispiel.,For example.
197,wichtig,important,,Sehr wichtig.,Very important.
198,sprechen,to speak,,Sprich Deutsch!,Speak German!
199,weg,away,,Weggehen.,Go away.
200,bringen,to bring,,Bring mir...,Bring me...
201,nacht,night,f,Gute Nacht!,Good night!
202,kopf,head,m,Mein Kopf.,My head.
203,liebe,love,f,In Liebe.,With love.
204,denken,to think,,Ich denke...,I think...
205,heißt,is called,,Wie heißt du?,What's your name?
206,kommen,to come,,Komm schnell!,Come quickly!
207,fast,almost,,Fast fertig.,Almost done.
208,machen,to make,,Mach schnell!,Hurry up!
209,hören,to hear,,Hör zu!,Listen!
210,lassen,to leave,,Lass es!,Leave it!
211,schlafen,to sleep,,Ich will schlafen.,I want to sleep.
212,essen,to eat,,Ich esse jetzt.,I'm eating now.
213,trinken,to drink,,Was trinkst du?,What are you drinking?
214,finden,to find,,Wo finde ich...?,Where do I find...?
215,schreiben,to write,,Schreib mir!,Write to me!
216,lesen,to read,,Ich lese.,I am reading.
217,lernen,to learn,,Deutsch lernen.,Learn German.
218,verstehen,to understand,,Verstehst du?,Do you understand?
219,fragen,to ask,,Darf ich fragen?,May I ask?
220,antworten,to answer,,Antworte mir!,Answer me!
221,helfen,to help,,Kannst du helfen?,Can you help?
222,öffnen,to open,,Mach auf!,Open up!
223,schließen,to close,,Mach zu!,Close!
224,zahlen,to pay,,Ich zahle.,I'll pay.
225,kaufen,to buy,,Was kaufst du?,What are you buying?
226,verkaufen,to sell,,Zu verkaufen.,For sale.
227,kosten,to cost,,Wie viel kostet das?,How much does it cost?
228,teuer,expensive,,Zu teuer!,Too expensive!
229,billig,cheap,,Sehr billig.,Very cheap.
230,groß,big/large,,Zu groß.,Too big.
231,klein,small,,Zu klein.,Too small.
232,schön,beautiful,,Wie schön!,How beautiful!
233,hässlich,ugly,,Nicht hässlich.,Not ugly.
234,warm,warm,,Es ist warm.,It is warm.
235,kalt,cold,,Mir ist kalt.,I am cold.
236,heiß,hot,,Sehr heiß.,Very hot.
237,gut,good,,Gut gemacht!,Well done!
238,schlecht,bad,,Schlecht für dich.,Bad for you.
239,richtig,right/correct,,Das ist richtig.,That's correct.
240,falsch,wrong,,Total falsch.,Totally wrong.
241,leicht,easy,,Ganz leicht.,Very easy.
242,schwer,difficult,,Zu schwer.,Too difficult.
243,schnell,fast,,Sehr schnell.,Very fast.
244,langsam,slow,,Geh langsam!,Go slowly!
245,früh,early,,Zu früh.,Too early.
246,spät,late,,Zu spät!,Too late!
247,heute,today,,Heute nicht.,Not today.
248,morgen,tomorrow,,Bis morgen!,See you tomorrow!
249,gestern,yesterday,,Gestern Abend.,Yesterday evening.
250,bald,soon,,Bis bald!,See you soon!
251,jetzt,now,,Jetzt oder nie!,Now or never!
252,sofort,immediately,,Sofort kommen!,Come immediately!
253,bitte,please,,Bitte schön.,You're welcome.
254,danke,thank you,,Vielen Dank!,Thank you very much!
255,entschuldigung,sorry/excuse me,,Entschuldigung!,Sorry!
256,hallo,hello,,Hallo zusammen!,Hello everyone!
257,tschüss,bye,,Tschüss dann!,Bye then!
258,ja,yes,,Ja genau.,Yes exactly.
259,nein,no,,Nein danke.,No thank you.
260,vielleicht,maybe,,Vielleicht später.,Maybe later.
261,natürlich,of course,,Natürlich!,Of course!
262,klar,clear/sure,,Klar doch!,Sure!
263,genau,exactly,,Genau das.,Exactly that.
264,stimmt,right (agreed),,Stimmt!,Right!
265,okay,okay,,Okay,gut.
266,super,great,,Super Idee!,Great idea!
267,toll,great,,Total toll!,Totally great!
268,schade,pity,,Wie schade!,What a pity!
269,leider,unfortunately,,Leider nicht.,Unfortunately not.
270,gern,gladly,,Sehr gern!,With pleasure!
271,gerne,gladly,,Ich komme gerne.,I'll gladly come.
272,willkommen,welcome,,Herzlich willkommen!,Warm welcome!
273,prost,cheers,,Prost!,Cheers!
274,gesundheit,bless you,,Gesundheit!,Bless you!
275,viel,much,,Vielen Dank!,Many thanks!
276,wenig,little,,Zu wenig.,Too little.
277,alle,all,,Alle zusammen!,All together!
278,jeder,everyone,,Jeder weiß das.,Everyone knows that.
279,niemand,nobody,,Niemand da.,Nobody there.
280,etwas,something,,Etwas Neues.,Something new.
281,nichts,nothing,,Nichts los.,Nothing going on.
282,alles,everything,,Alles gut?,Everything okay?
283,irgendwo,somewhere,,Irgendwo hier.,Somewhere here.
284,nirgendwo,nowhere,,Nirgendwo finden.,Can't find anywhere.
285,überall,everywhere,,Überall Leute.,People everywhere.
286,hier,here,,Hier bleiben.,Stay here.
287,dort,there,,Dort drüben.,Over there.
288,links,left,,Nach links.,To the left.
289,rechts,right,,Nach rechts.,To the right.
290,gerade,straight,,Geradeaus.,Straight ahead.
291,oben,above,,Oben drauf.,On top.
292,unten,below,,Unten drunter.,Underneath.
293,vor,front/in front,,Vor dem Haus.,In front of the house.
294,hinter,behind,,Hinter dir.,Behind you.
295,neben,next to,,Neben mir.,Next to me.
296,in,in/into,,In die Tasche.,Into the pocket.
297,aus,out of,,Aus dem Weg!,Out of the way!
298,an,on/to,,An die Wand.,On the wall.
299,auf,on/onto,,Auf den Tisch.,On the table.
300,unter,under,,Unter dem Bett.,Under the bed.
301,über,over,,Über die Brücke.,Over the bridge.
302,zwischen,between,,Zwischen zwei Stühlen.,Between two chairs.
303,bei,at/by,,Bei Freunden.,At friends' place.
304,gegen,against,,Gegen die Wand.,Against the wall.
305,ohne,without,,Ohne Zucker.,Without sugar.
306,mit,with,,Mit Milch.,With milk.
307,für,for,,Für dich.,For you.
308,von,from/of,,Von mir.,From me.
309,zu,to,,Zu dir.,To you.
310,nach,to/after,,Nach Hause.,Home.
311,vor,before,,Vor zwei Jahren.,Two years ago.
312,seit,since,,Seit gestern.,Since yesterday.
313,bis,until,,Bis später!,Until later!
314,während,during,,Während der Pause.,During the break.
315,wegen,because of,,Wegen dir.,Because of you.
316,trotz,despite,,Trotz Regen.,Despite rain.
317,durch,through,,Durch die Stadt.,Through the city.
318,um,around,,Um die Ecke.,Around the corner.
319,entlang,along,,Die Straße entlang.,Along the street.
320,gegenüber,opposite,,Gegenüber vom Bahnhof.,Opposite the station.
321,neben,next to,,Neben dem Park.,Next to the park.
322,hinter,behind,,Hinter dem Baum.,Behind the tree.
323,vor,in front of,,Vor der Tür.,In front of the door.
324,unter,under,,Unter dem Tisch.,Under the table.
325,auf,on,,Auf dem Dach.,On the roof.
326,in,in,,In der Küche.,In the kitchen.
327,aus,out of,,Aus dem Fenster.,Out of the window.
328,an,at/on,,An der Haltestelle.,At the stop.
329,zu,to,,Zum Arzt.,To the doctor.
330,ich,I,,Ich bin's.,It's me.
331,du,you,,Du zuerst.,You first.
332,er,he,,Er kommt.,He is coming.
333,sie,she,,Sie läuft.,She runs.
334,es,it,,Es regnet.,It rains.
335,wir,we,,Wir bleiben.,We stay.
336,ihr,you (pl.),,Ihr seid toll.,You are great.
337,sie,they,,Sie kommen.,They come.
338,mich,me,,Sieh mich an!,Look at me!
339,dich,you,,Ich liebe dich.,I love you.
340,ihn,him,,Ich sehe ihn.,I see him.
341,sie,her,,Ich liebe sie.,I love her.
342,uns,us,,Hilf uns!,Help us!
343,euch,you (pl.),,Ich rufe euch.,"How to say ""I call you all""?"
344,ihnen,them,,Gib ihnen das.,Give them that.
345,mein,my,,Mein Name.,My name.
346,dein,your,,Dein Hund.,Your dog.
347,sein,his/its,,Sein Freund.,His friend.
348,ihr,her/their,,Ihr Buch.,Her book.
349,unser,our,,Unser Haus.,Our house.
350,euer,your (pl.),,Euer Auto.,Your car.
351,ihr,their,,Ihr Problem.,Their problem.
352,dieser,this (m),,Dieser Tag.,This day.
353,diese,this (f),,Diese Frau.,This woman.
354,dieses,this (n),,Dieses Kind.,This child.
355,dies,these,,Diese Leute.,These people.
356,jener,that (m),,Jener Mann.,That man.
357,jene,that (f),,Jene Stadt.,That city.
358,jenes,that (n),,Jenes Buch.,That book.
359,jene,those,,Jene Zeiten.,Those times.
360,welcher,which (m),,Welcher Weg?,Which way?
361,welche,which (f),,Welche Farbe?,Which color?
362,welches,which (n),,Welches Haus?,Which house?
363,welche,which (pl.),,Welche Bücher?,Which books?
364,mein,my,,Mein Freund.,My friend.
365,dein,your,,Deine Schwester.,Your sister.
366,sein,his,,Sein Bruder.,His brother.
367,ihr,her,,Ihre Mutter.,Her mother.
368,unser,our,,Unsere Kinder.,Our children.
369,euer,your (pl.),,Eure Eltern.,Your parents.
370,ihr,their,,Ihre Freunde.,Their friends.
371,kein,no (m),,Kein Geld.,No money.
372,keine,no (f),,Keine Zeit.,No time.
373,kein,no (n),,Kein Problem.,No problem.
374,keine,no (pl.),,Keine Lust.,No desire.
375,ein,a (m),,Ein Mann.,A man.
376,eine,a (f),,Eine Frau.,A woman.
377,ein,a (n),,Ein Kind.,A child.
378,einen,a (m acc.),,Einen Apfel.,An apple.
379,eine,a (f acc.),,Eine Katze.,A cat.
380,ein,a (n acc.),,Ein Auto.,A car.
381,eins,one,,Eins,zwei
382,zwei,two,,Zwei Euro.,Two euros.
383,drei,three,,Drei Personen.,Three people.
384,vier,four,,Vier Wochen.,Four weeks.
385,fünf,five,,Fünf Minuten.,Five minutes.
386,sechs,six,,Sechs Uhr.,Six o'clock.
387,sieben,seven,,Sieben Tage.,Seven days.
388,acht,eight,,Acht Stunden.,Eight hours.
389,neun,nine,,Neun Leben.,Nine lives.
390,zehn,ten,,Zehn Finger.,Ten fingers.
391,elf,eleven,,Elf Spieler.,Eleven players.
392,zwölf,twelve,,Zwölf Monate.,Twelve months.
393,zwanzig,twenty,,Zwanzig Jahre.,Twenty years.
394,dreißig,thirty,,Dreißig Minuten.,Thirty minutes.
395,vierzig,forty,,Vierzig Prozent.,Forty percent.
396,fünfzig,fifty,,Fünfzig Euro.,Fifty euros.
397,sechzig,sixty,,Sechzig Sekunden.,Sixty seconds.
398,siebzig,seventy,,Siebzig Jahre.,Seventy years.
399,achtzig,eighty,,Achtzig Kilometer.,Eighty kilometers.
400,neunzig,ninety,,Neunzig Tage.,Ninety days.
401,hundert,hundred,,Hundert Leute.,Hundred people.
402,tausend,thousand,,Tausend Dank!,A thousand thanks!
403,erster,first (m),,Der erste Platz.,First place.
404,zweite,second (f),,Die zweite Chance.,The second chance.
405,dritte,third (n),,Das dritte Mal.,The third time.
406,letzte,last (m),,Der letzte Tag.,The last day.
407,nächste,next (f),,Die nächste Woche.,Next week.
408,vorige,previous (n),,Das vorige Jahr.,The previous year.
409,wie,how,,Wie bitte?,Pardon?
410,warum,why,,Warum fragst du?,Why do you ask?
411,wo,where,,Wo wohnst du?,Where do you live?
412,wann,when,,Wann kommst du?,When are you coming?
413,wer,who,,Wer ist da?,Who is there?
414,was,what,,Was machst du?,What are you doing?
415,welcher,which,,Welcher Bus?,Which bus?
416,wieviel,how much,,Wieviel kostet das?,How much does it cost?
417,wieviele,how many,,Wieviele Leute?,How many people?
418,ja,yes,,Ja,gerne.
419,nein,no,,Nein,danke.
420,oder,or,,Kaffee oder Tee?,Coffee or tea?
421,und,and,,Brot und Butter.,Bread and butter.
422,aber,but,,Aber ja!,But yes!
423,weil,because,,Weil ich müde bin.,Because I am tired.
424,dass,that,,Ich weiß,dass...
425,ob,whether/if,,Ich weiß nicht,ob...
426,wenn,if/when,,Wenn du willst.,If you want.
427,als,when/as,,Als ich klein war.,When I was little.
428,bevor,before,,Bevor du gehst.,Before you go.
429,nachdem,after,,Nachdem ich gegessen habe.,After I ate.
430,damit,so that,,Damit du verstehst.,So that you understand.
431,obwohl,although,,Obwohl es regnet.,Although it rains.
432,während,while,,Während du schläfst.,While you sleep.
433,seit,since,,Seit ich hier bin.,Since I am here.
434,bis,until,,Bis du kommst.,Until you come.
435,außer,except,,Außer montags.,Except Mondays.
436,sonst,or else,,Beeil dich,sonst...
437,trotzdem,nevertheless,,Trotzdem danke.,Thanks anyway.
438,deshalb,therefore,,Deshalb komme ich.,That's why I'm coming.
439,darum,therefore,,Darum sage ich...,That's why I say...
440,denn,because,,Komm denn her!,Come here then!
441,nämlich,namely,,Ich meine nämlich...,I mean namely...
442,also,so/thus,,Also gut.,Alright then.
443,nun,now,,Nun ja.,Well now.
444,eigentlich,actually,,Eigentlich nicht.,Actually not.
445,vielleicht,perhaps,,Vielleicht morgen.,Perhaps tomorrow.
446,sicher,sure/certainly,,Sicher doch!,Sure!
447,bestimmt,definitely,,Bestimmt nicht.,Definitely not.
448,wahrscheinlich,probably,,Wahrscheinlich ja.,Probably yes.
449,hoffentlich,hopefully,,Hoffentlich nicht.,Hopefully not.
450,leider,unfortunately,,Leider nein.,Unfortunately no.
451,glücklicherweise,fortunately,,Glücklicherweise ja.,Fortunately yes.
452,natürlich,naturally,,Natürlich!,Naturally!
453,klar,clearly,,Klar,kein Problem.
454,genau,exactly,,Genau richtig.,Exactly right.
455,richtig,correct,,Ganz richtig.,Quite correct.
456,falsch,wrong,,Völlig falsch.,Completely wrong.
457,wahr,TRUE,,Ist das wahr?,Is that true?
458,unwahr,FALSE,,Das ist unwahr.,That's false.
459,möglich,possible,,Alles ist möglich.,Everything is possible.
460,unmöglich,impossible,,Das ist unmöglich.,That's impossible.
461,gut,good,,Gut zu wissen.,Good to know.
462,besser,better,,Besser als nichts.,Better than nothing.
463,schlecht,bad,,Schlechte Idee.,Bad idea.
464,schlimm,terrible,,Wie schlimm!,How terrible!
465,toll,great,,Toll gemacht!,Great job!
466,super,super,,Super toll!,Super great!
467,fantastisch,fantastic,,Fantastisch!,Fantastic!
468,wunderbar,wonderful,,Wunderbar!,Wonderful!
469,herrlich,gorgeous,,Herrliches Wetter!,Gorgeous weather!
470,schrecklich,terrible,,Schrecklich kalt.,Terribly cold.
471,furchtbar,awful,,Furchtbar laut.,Awfully loud.
472,ekelhaft,disgusting,,Ekelhaft!,Disgusting!
473,eklig,gross,,Total eklig.,Totally gross!
474,lustig,funny,,Sehr lustig!,Very funny!
475,komisch,strange/funny,,Komisch,oder?
476,seltsam,strange,,Sehr seltsam.,Very strange.
477,normal,normal,,Ganz normal.,Totally normal.
478,gewöhnlich,usual,,Wie gewöhnlich.,As usual.
479,besonders,especially,,Besonders gut.,Especially good.
480,außergewöhnlich,extraordinary,,Außergewöhnlich schön.,Extraordinarily beautiful.
481,einfach,simply,,Einfach super.,Simply super.
482,schwierig,difficult,,Sehr schwierig.,Very difficult.
483,leicht,easy,,Leicht gesagt.,Easily said.
484,schnell,quick,,Schnell machen!,Do it quick!
485,langsam,slow,,Langsam fahren.,Drive slowly.
486,laut,loud,,Zu laut!,Too loud!
487,leise,quiet,,Leise sein!,Be quiet!
488,hoch,high,,Hoch hinaus!,Up high!
489,tief,deep/low,,Tief im Wald.,Deep in the forest.
490,breit,wide,,Breite Straße.,Wide street.
491,schmal,narrow,,Schmaler Weg.,Narrow path.
492,lang,long,,Langer Weg.,Long way.
493,kurz,short,,Kurze Pause.,Short break.
494,dick,thick/fat,,Dicker Pullover.,Thick sweater.
495,dünn,thin,,Dünnes Eis.,Thin ice.
496,stark,strong,,Starker Kaffee.,Strong coffee.
497,schwach,weak,,Schwaches Signal.,Weak signal.
498,reich,rich,,Sehr reich.,Very rich.
499,arm,poor,,Arm dran.,Poor thing.
500,glücklich,happy,,Ich bin glücklich.,I am happy.
501,traurig,sad,,Ich bin traurig.,I am sad.
502,fröhlich,cheerful,,Fröhlich sein!,Be cheerful!
503,wütend,angry,,Ich bin wütend!,I am angry!
504,böse,angry,,Böse auf dich.,Angry with you.
505,froh,glad,,Ich bin froh.,I am glad.
506,stolz,proud,,Ich bin stolz.,I am proud.
507,eifersüchtig,jealous,,Bist du eifersüchtig?,Are you jealous?
508,neidisch,envious,,Neidisch sein.,Be envious.
509,verliebt,in love,,Verliebt sein.,Be in love.
510,einsam,lonely,,Ich fühle mich einsam.,I feel lonely.
511,müde,tired,,Total müde.,Totally tired.
512,wach,awake,,Hellwach.,Wide awake.
513,hungrig,hungry,,Ich bin hungrig.,I am hungry.
514,durstig,thirsty,,Mir ist durstig.,I am thirsty.
515,krank,sick,,Ich bin krank.,I am sick.
516,gesund,healthy,,Bleib gesund!,Stay healthy!
517,tot,dead,,Tot müde.,Dead tired.
518,lebendig,alive,,Lebendig begraben.,Buried alive.
519,tot,dead,,Mausetot.,Dead as a doornail.
520,jung,young,,Jung geblieben.,Stayed young.
521,alt,old,,Alt werden.,Get old.
522,neu,new,,Brandneu.,Brand new.
523,gebraucht,used,,Gebraucht kaufen.,Buy used.
524,sauber,clean,,Sauber machen.,Clean up.
525,schmutzig,dirty,,Schmutzige Wäsche.,Dirty laundry.
526,voll,full,,Voll tanken.,Fill up.
527,leer,empty,,Leer ausgehen.,Come away empty-handed.
528,offen,open,,Offen sein.,Be open.
529,geschlossen,closed,,Geschlossen heute.,Closed today.
530,warm,warm,,Warm anziehen.,Dress warm.
531,kalt,cold,,Kalt duschen.,Cold shower.
532,heiß,hot,,Heißer Tee.,Hot tea.
533,kühl,cool,,Kühl lagern.,Store cool.
534,nass,wet,,Nass bis auf die Haut.,Wet to the skin.
535,trocken,dry,,Trocken bleiben.,Stay dry.
536,hell,bright,,Hell leuchten.,Shine bright.
537,dunkel,dark,,Dunkel werden.,Get dark.
538,klar,clear,,Klarer Himmel.,Clear sky.
539,trüb,cloudy,,Trübes Wetter.,Cloudy weather.
540,sonnig,sunny,,Sonniger Tag.,Sunny day.
541,regnerisch,rainy,,Regnerisches Wetter.,Rainy weather.
542,windig,windy,,Windig heute.,Windy today.
543,stürmisch,stormy,,Stürmisches Wetter.,Stormy weather.
544,schnee,snow,,Es schneit.,It is snowing.
545,eis,ice,,Glattes Eis.,Slippery ice.
546,nebel,fog,,Dichter Nebel.,Thick fog.
547,wolke,cloud,,Wolken am Himmel.,Clouds in the sky.
548,regen,rain,,Es regnet.,It is raining.
549,schnee,snow,,Schnee fällt.,Snow is falling.
550,sturm,storm,,Sturm kommt.,Storm is coming.
551,blitz,lightning,,Blitz und Donner.,Lightning and thunder.
552,donner,thunder,,Lauter Donner.,Loud thunder.
553,mond,moon,,Vollmond.,Full moon.
554,sonne,sun,,Die Sonne scheint.,The sun is shining.
555,stern,star,,Sternenhimmel.,Starry sky.
556,himmel,sky/heaven,,Blauer Himmel.,Blue sky.
557,erde,earth,,Auf der Erde.,On earth.
558,meer,sea,,Am Meer.,At the sea.
559,fluss,river,,Der Fluss.,The river.
560,berg,mountain,,Hoher Berg.,High mountain.
561,tal,valley,,Im Tal.,In the valley.
562,wald,forest,,Im Wald.,In the forest.
563,baum,tree,,Alter Baum.,Old tree.
564,blume,flower,,Schöne Blume.,Beautiful flower.
565,gras,grass,,Grünes Gras.,Green grass.
